,search,name
0,+elado+lakas,lakás
1,+elado+haz,ház
2,+elado+telek,telek
3,+elado+garazs,garázs
4,+elado+nyaralo,nyaraló
5,+elado+iroda,iroda
6,+elado+uzlethelyiseg,üzlethelyiség
7,+elado+vendeglatas,vendégltás
8,+elado+raktar,raktár
9,+elado+ipari,ipari
10,+elado+mezogazdasagi,mezőgazdasági
11,+elado+fejl-terulet,fejlesztési terület
12,+elado+intezmeny,intézmény
